HS Code,HS Description,Country Name,Financial_Year,INR_Cr,USD_Mn
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,NIGERIA,2023-24,0.00513,0.000626
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,NIGERIA,2024-25,0.0341184,0.004044
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,NIGERIA,2025-26,0.6812387,0.078951
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,NIGERIA,2026-27,0.0,0.0
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,QATAR,2019-20,1582.0647989,225.5162691584
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,QATAR,2020-21,1322.4120049,179.3894549094
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,QATAR,2021-22,2291.1383824,309.8314071453
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,QATAR,2022-23,2024.5457928,258.6089811533
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,QATAR,2023-24,3850.6847903,465.289583
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,QATAR,2024-25,3126.023859,374.964551
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,QATAR,2025-26,4353.3323129,497.37775
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,QATAR,2026-27,432.7825855,47.508162
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,RUSSIA,2019-20,2925.3949194,414.1368581392
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,RUSSIA,2020-21,2770.5903771,372.1638872516
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,RUSSIA,2021-22,5490.5862677,739.4380580153
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,RUSSIA,2022-23,16138.1998124,2026.908913032
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,RUSSIA,2023-24,37198.6852048,4500.740252
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,RUSSIA,2024-25,24627.7534562,2945.091892
